43.128.137.67:443  | 64.252.72.154  | KR | 172ms | CloudFront | 2024-01-23 13:11:14
43.132.212.12:443  | 64.252.104.148 | HK | 51ms | CloudFront | 2024-01-23 13:12:27
43.132.185.5:443   | 64.252.104.148 | HK | 51ms | CloudFront | 2024-01-23 13:12:27
43.132.208.254:443 | 64.252.73.215  | HK | 49ms | CloudFront | 2024-01-23 13:12:27
43.154.90.139:443  | 64.252.102.163 | HK | 59ms | CloudFront | 2024-01-23 13:14:13
43.155.75.66:443   | 64.252.102.163 | HK | 54ms | CloudFront | 2024-01-23 13:14:35
49.51.38.248:443   | 64.252.121.138 | US | 158ms | CloudFront | 2024-01-23 13:17:03
49.51.38.248:443   | 64.252.121.138 | US | 166ms | CloudFront | 2024-01-23 13:17:05
49.51.38.248:443   | 64.252.121.138 | US | 162ms | CloudFront | 2024-01-23 13:17:08
49.51.249.126:443  | 64.252.121.138 | US | 352ms | CloudFront | 2024-01-23 13:17:35
101.32.26.11:443   | 64.252.105.113 | HK | 54ms | CloudFront | 2024-01-23 13:17:40
119.28.76.104:443  | 64.252.105.113 | HK | 49ms | CloudFront | 2024-01-23 13:18:29
119.28.68.23:443   | 64.252.105.113 | HK | 50ms | CloudFront | 2024-01-23 13:18:31
119.28.130.207:443 | 64.252.104.148 | HK | 54ms | CloudFront | 2024-01-23 13:18:41
124.156.157.6:443  | 64.252.104.148 | HK | 50ms | CloudFront | 2024-01-23 13:19:06
124.156.141.116:443 | 64.252.104.148 | HK | 50ms | CloudFront | 2024-01-23 13:19:10
129.226.153.34:443 | 64.252.104.148 | SG | 259ms | CloudFront | 2024-01-23 13:19:49
150.109.113.183:443 | 64.252.104.148 | HK | 56ms | CloudFront | 2024-01-23 13:20:21
150.109.68.166:443 | 64.252.104.148 | HK | 80ms | CloudFront | 2024-01-23 13:20:37
150.109.113.183:443 | 64.252.104.148 | HK | 69ms | CloudFront | 2024-01-23 13:20:40
170.106.107.113:443 | 64.252.118.80  | US | 155ms | CloudFront | 2024-01-23 13:21:33
