82.97.205.61:443   | 82.97.205.5    | AR | 282ms | 2023-02-17 06:08:25
87.120.164.62:443  | 87.120.164.7   | AR | 308ms | 2023-02-17 06:08:25
82.97.205.5:443    | 82.97.205.5    | AR | 278ms | 2023-02-17 06:08:26
87.120.164.7:443   | 87.120.164.7   | AR | 308ms | 2023-02-17 06:08:26
82.97.205.4:443    | 82.97.205.5    | AR | 297ms | 2023-02-17 06:08:27
87.120.164.5:443   | 87.120.164.7   | AR | 307ms | 2023-02-17 06:08:27
82.97.205.62:443   | 82.97.205.5    | AR | 277ms | 2023-02-17 06:08:28
87.120.164.4:443   | 87.120.164.7   | AR | 308ms | 2023-02-17 06:08:28
87.120.164.61:443  | 87.120.164.7   | AR | 308ms | 2023-02-17 06:08:29
87.120.164.6:443   | 87.120.164.7   | AR | 310ms | 2023-02-17 06:08:29
